first_name,last_name,company_name,address,city,county,postal,phone1,phone2,email,web,full_name,email_domain,city_length,is_gmail
Julie,Sakshaug,Newton Clerk,5 Shakspeare St #66,St. Johns Ward,Hereford and Worcester,B61 8HD,01225-180983,01641-570473,julie@gmail.com,http://www.newtonclerk.co.uk,Julie Sakshaug,gmail.com,14,True
Marisha,Wilcoxon,Young Door Company,52 Trowbridge St,Knightsbridge and Belgravia Wa,Greater London,SW1X 9HB,01257-461104,01422-891030,marisha.wilcoxon@gmail.com,http://www.youngdoorcompany.co.uk,Marisha Wilcoxon,gmail.com,30,True
Hubert,Mias,Chuckmaster Co,3614 Old Hall St #604,Fawley,Hampshire,SO45 2PT,01408-965643,01857-225719,hubert.mias@gmail.com,http://www.chuckmasterco.co.uk,Hubert Mias,gmail.com,6,True
Angelo,Lavista,Computemp,97 Newlands St,Kensington and Fairfield Ward,Merseyside,L6 9DU,01544-247601,01210-307796,angelo.lavista@gmail.com,http://www.computemp.co.uk,Angelo Lavista,gmail.com,29,True
Salley,Rieger,Barnett Industries Inc,1 Segrave St,Sutton Trinity Ward,West Midlands,B75 6HJ,01858-162078,01992-655281,salley.rieger@gmail.com,http://www.barnettindustriesinc.co.uk,Salley Rieger,gmail.com,19,True
Lino,Sutulovich,Sherpa Corp,55 Margaret Rd,Heaton Ward,"Yorkshire, West",BD9 4DA,01316-590173,01980-890046,lino.sutulovich@gmail.com,http://www.sherpacorp.co.uk,Lino Sutulovich,gmail.com,11,True
Gilbert,Langarica,Inter American Press Assn,82 Sinclair St,Bangor Community,Gwynedd,LL57 1DW,01455-565046,01432-324277,gilbert.langarica@gmail.com,http://www.interamericanpressassn.co.uk,Gilbert Langarica,gmail.com,16,True
Mauricio,Flam,"Callender, William C Esq",18 Nimrod St,Walney North Ward,Cumbria,LA14 3SJ,01640-813748,01829-160968,mflam@gmail.com,http://www.callenderwilliamcesq.co.uk,Mauricio Flam,gmail.com,17,True
Gilberto,Erixon,Advanced Data Systems,2258 Benedict St,Penryn,Cornwall,TR10 8RP,01582-161403,01749-718702,gerixon@gmail.com,http://www.advanceddatasystems.co.uk,Gilberto Erixon,gmail.com,6,True
Laila,Fend,Burlington Co Library,57 St Georges Hill,Crawcrook and Greenside Ward,Tyne and Wear,NE40 4LJ,01550-206220,01624-621665,lfend@gmail.com,http://www.burlingtoncolibrary.co.uk,Laila Fend,gmail.com,28,True
Bobbie,Guillereault,Geneva Woods Professional Ctr,385 Upper Hampton St #39,Southey Ward,South Yorkshire,S5 8LL,01496-781616,01606-682963,bguillereault@gmail.com,http://www.genevawoodsprofessionalctr.co.uk,Bobbie Guillereault,gmail.com,12,True
Kanisha,Difiora,"Mata, Mario A Esq",513 Bailey St,Bontnewydd Community,Gwynedd,LL54 7UP,01770-697837,01426-535429,kanisha@gmail.com,http://www.matamarioaesq.co.uk,Kanisha Difiora,gmail.com,20,True
Ayesha,Moeder,Meredith Paving Corp,620 Old Leeds St,Sheviock,Cornwall,PL11 3DF,01284-871485,01800-737237,ayesha@gmail.com,http://www.meredithpavingcorp.co.uk,Ayesha Moeder,gmail.com,8,True
Aleisha,Lemm,Pathe Cmptr Cntrl Systems Corp,341 Birchfield St,Wareham St. Martin,Dorset,BH16 6JJ,01341-997268,01864-899304,aleisha.lemm@gmail.com,http://www.pathecmptrcntrlsystemscorp.co.uk,Aleisha Lemm,gmail.com,18,True
Vashti,Sugai,Accurate Engraving Co,4 Candia St #6,Shipston on Stour,Warwickshire,CV36 4HE,01311-723137,01528-551210,vashti@gmail.com,http://www.accurateengravingco.co.uk,Vashti Sugai,gmail.com,17,True
Jordan,Handsaker,Shirleys Print Shoppe,2 Cherry Lane,Strood South Ward,Kent,ME2 2NJ,01793-443665,01964-984369,jordan_handsaker@gmail.com,http://www.shirleysprintshoppe.co.uk,Jordan Handsaker,gmail.com,17,True
Madalyn,Dubberly,L & M Industrial Chemicals Inc,1 Lower Burlington St,Northfleet South Ward,Kent,DA11 8RN,01974-720949,01910-745476,madalyn.dubberly@gmail.com,http://www.lmindustrialchemicalsinc.co.uk,Madalyn Dubberly,gmail.com,21,True
Santos,Signore,"Gallagher, John J Esq",4706 Chapel Place #5993,Steyning,West Sussex,BN44 3DF,01614-431131,01670-346228,santos@gmail.com,http://www.gallagherjohnjesq.co.uk,Santos Signore,gmail.com,8,True
Maia,Shadd,Pigeon Falls State Bank,8 Bigham Rd,Deal,Kent,CT14 9QJ,01950-708083,01295-412046,maia_shadd@gmail.com,http://www.pigeonfallsstatebank.co.uk,Maia Shadd,gmail.com,4,True
Nakita,Rodrigues,Richard Mulholland Prop Inc,4 Northbrook St #600,Edmonton Green Ward,Greater London,N18 2NF,01679-150583,01607-496390,nakita_rodrigues@gmail.com,http://www.richardmulhollandpropinc.co.uk,Nakita Rodrigues,gmail.com,19,True
Kattie,Ozane,"Page, Patricia A Esq",526 Liffey St #759,Westbury,Wiltshire,BA13 3QU,01322-491007,01807-524286,kozane@gmail.com,http://www.pagepatriciaaesq.co.uk,Kattie Ozane,gmail.com,8,True
Chan,Loftin,Hydrick Law Offices,84 Walton Village,Horfield Ward,Bristol,BS7 0AX,01507-583669,01698-163177,chan@gmail.com,http://www.hydricklawoffices.co.uk,Chan Loftin,gmail.com,13,True
Chantell,Besong,"Kelly, Mark C",11 Tetlow St,Parsons Green and Walham Ward,Greater London,SW6 4QP,01607-329400,01218-142767,chantell_besong@gmail.com,http://www.kellymarkc.co.uk,Chantell Besong,gmail.com,29,True
Hyun,Erdman,"Hall, Ronald A",1432 Rutland Ave,Uckfield,East Sussex,TN22 9EF,01594-744010,01356-404829,hyun@gmail.com,http://www.hallronalda.co.uk,Hyun Erdman,gmail.com,8,True
Elizabeth,Pata,"Hirsch, Henry L Esq",645 Lister Drive,Denwick,Northumberland,NE66 2LQ,01634-662999,01571-674820,elizabeth@gmail.com,http://www.hirschhenrylesq.co.uk,Elizabeth Pata,gmail.com,7,True
Alise,Packebush,Wnc Forklift Inc,22 Delamore St,Hereford,Hereford and Worcester,HR1 2EA,01266-695304,01517-702273,alise.packebush@gmail.com,http://www.wncforkliftinc.co.uk,Alise Packebush,gmail.com,8,True
Bonita,Sandblom,Transbay Steel Corp,22 Kilshaw St,Wimbledon Park Ward,Greater London,SW19 7DT,01989-617161,01723-502274,bsandblom@gmail.com,http://www.transbaysteelcorp.co.uk,Bonita Sandblom,gmail.com,19,True
Mari,Smeby,A B E Doors & Windows,4309 Chisenhale St,Rock,Hereford and Worcester,DY14 9XQ,01423-202676,01733-169475,msmeby@gmail.com,http://www.abedoorswindows.co.uk,Mari Smeby,gmail.com,4,True
Eleonora,Ventry,"Jackson, Donald M Esq",758 Woodhouse St,Soho Ward,West Midlands,B21 0UE,01966-685595,01762-396161,eleonora@gmail.com,http://www.jacksondonaldmesq.co.uk,Eleonora Ventry,gmail.com,9,True
Therese,Shiraki,Wuhf Fox 31,18 Ouse St,Oakridge and Castlefield Ward,Buckinghamshire,HP11 2PJ,01611-691262,01703-441371,tshiraki@gmail.com,http://www.wuhffox.co.uk,Therese Shiraki,gmail.com,29,True
Edward,Strejan,Kaysers Nutrition Center,1267 Audley St,Ise Lodge Ward,Northamptonshire,NN15 5DB,01242-422459,01659-505806,edward_strejan@gmail.com,http://www.kaysersnutritioncenter.co.uk,Edward Strejan,gmail.com,14,True
Christoper,Sheneman,"Jones, Brigham P Esq",845 Atherton St,Tatsfield,Kent,TN16 2AR,01455-958797,01732-922087,christoper@gmail.com,http://www.jonesbrighampesq.co.uk,Christoper Sheneman,gmail.com,9,True
Ty,Feeback,Barnett Travel,14 Landseer Rd,Nith Ward,Dumfries and Galloway,DG1 9SY,01964-503521,01661-450622,tfeeback@gmail.com,http://www.barnetttravel.co.uk,Ty Feeback,gmail.com,9,True
Gilberto,Feagins,"Finlay, Joseph B Jr",7643 Campbell St,Penge and Cator Ward,Greater London,BR3 1LT,01304-758732,01315-831243,gfeagins@gmail.com,http://www.finlayjosephbjr.co.uk,Gilberto Feagins,gmail.com,20,True
Queen,Leader,Ottumwa Glass Co,6 Princes St,East Kilbride West Ward,South Lanarkshire,G75 8YR,01567-846944,01445-288807,queen_leader@gmail.com,http://www.ottumwaglassco.co.uk,Queen Leader,gmail.com,23,True
Eliz,Strimple,Karl May General Contractor,82 Denison St #2642,Holyrood Ward,Greater Manchester,M25 1JB,01699-467608,01844-754890,eliz@gmail.com,http://www.karlmaygeneralcontractor.co.uk,Eliz Strimple,gmail.com,13,True
Laura,Gumaer,C Leasing Company,1779 Bird St,East Sheen Ward,Greater London,SW14 8JZ,01821-208235,01798-839362,laura_gumaer@gmail.com,http://www.cleasingcompany.co.uk,Laura Gumaer,gmail.com,15,True
Veronique,Nuckolls,Cinemax Cable Pay Tv Svce,198 Ranelagh Place,Central Buchan Ward,Aberdeenshire,AB43 6RD,01632-762032,01699-696279,vnuckolls@gmail.com,http://www.cinemaxcablepaytvsvce.co.uk,Veronique Nuckolls,gmail.com,19,True
Antonio,Villamarin,Combs Sheetmetal,353 Standish St #8264,Little Parndon and Hare Street,Hertfordshire,CM20 2HT,01559-403415,01388-777812,antonio.villamarin@gmail.com,http://www.combssheetmetal.co.uk,Antonio Villamarin,gmail.com,30,True
Roxanne,Hedegore,"Wallace, Bruce R Esq",592 Catharine St,Blantyre Ward,South Lanarkshire,G72 0RZ,01317-299836,01512-894063,roxanne_hedegore@gmail.com,http://www.wallacebruceresq.co.uk,Roxanne Hedegore,gmail.com,13,True
Olen,Ailey,"Shohet, Grace C Esq",9 Fielding St,Wombourne,Staffordshire,WV5 0BB,01654-865551,01354-169004,olen@gmail.com,http://www.shohetgracecesq.co.uk,Olen Ailey,gmail.com,9,True
Elliott,Kins,John Noda A Law Ofc Lawrence E,32 High Park St #44,St. Margarets with St. Nichola,Norfolk,PE30 1QE,01727-926540,01422-984862,elliott@gmail.com,http://www.johnnodaalawofclawrencee.co.uk,Elliott Kins,gmail.com,30,True
Leonie,Devereux,Mr Bar B Q Inc,88 Vernon St,Dunbar and East Linton Ward,East Lothian,EH42 1SJ,01515-840778,01859-764851,leonie_devereux@gmail.com,http://www.mrbarbqinc.co.uk,Leonie Devereux,gmail.com,27,True
Mignon,Luger,National Lime Association,80 Talbot St,Edgeley and Cheadle Heath Ward,Cheshire,SK3 9RD,01934-252795,01491-473626,mignon@gmail.com,http://www.nationallimeassociation.co.uk,Mignon Luger,gmail.com,30,True
Tu,Rivet,Gemini Hats & Accessories Inc,31 Buckingham Ave #3785,Cotham Ward,Bristol,BS6 5SR,01578-744350,01577-559109,tu_rivet@gmail.com,http://www.geminihatsaccessoriesinc.co.uk,Tu Rivet,gmail.com,11,True
Remedios,Arlinghaus,"Miller, Martin M Esq",9 Duckenfield St,Aldbrough,E Riding of Yorkshire,HU11 4QA,01536-498792,01883-435283,remedios.arlinghaus@gmail.com,http://www.millermartinmesq.co.uk,Remedios Arlinghaus,gmail.com,9,True
Denny,Casalenda,Ringo International Inc,75 Brewster St #453,Redlands Ward,Berkshire,RG1 5EX,01349-134533,01589-277770,dcasalenda@gmail.com,http://www.ringointernationalinc.co.uk,Denny Casalenda,gmail.com,13,True
Eleni,Vanscoik,"Simpson, Fred B Esq",9 Mather St,Sutton Vesey Ward,West Midlands,B73 6HH,01208-373467,01628-638196,eleni_vanscoik@gmail.com,http://www.simpsonfredbesq.co.uk,Eleni Vanscoik,gmail.com,17,True
Kina,Saltman,Mitchell Silliman Co Inc,29 Oregon St,Ruddington,Nottinghamshire,NG11 6JT,01515-506025,01788-849591,kina_saltman@gmail.com,http://www.mitchellsillimancoinc.co.uk,Kina Saltman,gmail.com,10,True
Jacki,Sterback,"Praver, David L Esq",15 East Albert Rd,Kingston Bagpuize with Southmo,Oxfordshire,OX13 5AW,01820-396117,01935-736077,jacki.sterback@gmail.com,http://www.praverdavidlesq.co.uk,Jacki Sterback,gmail.com,30,True
Fallon,Kerfoot,"Rotenstreich, H Andrew Esq",3186 Naylor St,Manor Castle Ward,South Yorkshire,S2 1HP,01538-649750,01505-472052,fallon.kerfoot@gmail.com,http://www.rotenstreichhandrewesq.co.uk,Fallon Kerfoot,gmail.com,17,True
Glory,Ona,Real Isle Properties,9830 Croxteth Rd,Pontefract North Ward,West Yorkshire,WF8 3YR,01469-868357,01535-699216,glory_ona@gmail.com,http://www.realisleproperties.co.uk,Glory Ona,gmail.com,21,True
Tamesha,Tyburski,"Liss, Amy Esq",1054 Gladys St,Bellshill Ward,North Lanarkshire,ML4 3EJ,01954-979729,01834-599647,tamesha.tyburski@gmail.com,http://www.lissamyesq.co.uk,Tamesha Tyburski,gmail.com,14,True
Alverta,Topete,National Catholic Reporter,328 Havelock St #61,Addlestone Bourneside Ward,Surrey,KT15 2NL,01685-141932,01665-348077,alverta.topete@gmail.com,http://www.nationalcatholicreporter.co.uk,Alverta Topete,gmail.com,26,True
Cristina,Marola,Pro Img Mktng & Pub Rel Inc,2449 Amberly St #6364,Temple Newsam Ward,West Yorkshire,LS15 0PQ,01264-145506,01538-230493,cmarola@gmail.com,http://www.proimgmktngpubrelinc.co.uk,Cristina Marola,gmail.com,18,True
Joaquin,Hysom,Sport Toyota,115 Lister Rd,Barnfield Ward,Lancashire,BB5 2EY,01616-548910,01475-223867,jhysom@gmail.com,http://www.sporttoyota.co.uk,Joaquin Hysom,gmail.com,14,True
Kerrie,Makuch,Kinkos Copies,7855 Sir Thomas St #7499,Calstock,Cornwall,PL17 8AR,01854-749084,01966-883088,kmakuch@gmail.com,http://www.kinkoscopies.co.uk,Kerrie Makuch,gmail.com,8,True
Maryln,Mortenson,"Mullins, Glen Esq",76 Paulton St,Lancaster Gate Ward,Greater London,W2 3JT,01618-628525,01421-574935,maryln@gmail.com,http://www.mullinsglenesq.co.uk,Maryln Mortenson,gmail.com,19,True
Pearlie,Flori,Marine Safety International,4 Cochrane St,Iwade,Kent,ME9 8UJ,01235-935599,01583-844244,pearlie_flori@gmail.com,http://www.marinesafetyinternational.co.uk,Pearlie Flori,gmail.com,5,True
Berry,Scandalis,American Fine Foods Inc,4 Vivian St,Corporation Park Ward,Lancashire,BB2 6LB,01379-603039,01375-150068,berry.scandalis@gmail.com,http://www.americanfinefoodsinc.co.uk,Berry Scandalis,gmail.com,21,True
Kaycee,Carsten,Dohn Law Offices Inc Ps,35 Dublin St,Cirencester,Gloucestershire,GL7 2EY,01270-893129,01837-463418,kaycee.carsten@gmail.com,http://www.dohnlawofficesincps.co.uk,Kaycee Carsten,gmail.com,11,True
Eugene,Pelzer,Fashion Corner Inc,622 Holmes St,Heath Town Ward,Staffordshire,WV10 0AW,01839-920108,01413-591144,eugene_pelzer@gmail.com,http://www.fashioncornerinc.co.uk,Eugene Pelzer,gmail.com,15,True
Noel,Sarra,Orkin Exterminating Co Inc,2 Cockburn St,Seaham,County Durham,SR7 0AR,01868-736780,01874-679913,nsarra@gmail.com,http://www.orkinexterminatingcoinc.co.uk,Noel Sarra,gmail.com,6,True
Alton,Rampy,Reliable Metalcraft Inc,83 Battenburg St,Girvan and South Carrick Ward,South Ayrshire,KA26 0DY,01767-568989,01506-160673,alton_rampy@gmail.com,http://www.reliablemetalcraftinc.co.uk,Alton Rampy,gmail.com,29,True
Ashley,Tropp,Everythings A Dollar,3 Greenleaf St #5644,Blyth,Northumberland,NE24 2RY,01951-324927,01602-307715,ashley.tropp@gmail.com,http://www.everythingsadollar.co.uk,Ashley Tropp,gmail.com,5,True
Franchesca,Charry,"Cappello, A Barry Esq",59 Westminster Rd,Empress Ward,Hampshire,GU14 8AY,01748-827176,01707-624969,franchesca@gmail.com,http://www.cappelloabarryesq.co.uk,Franchesca Charry,gmail.com,12,True
Elmira,Ringlein,"Hyland, Richard S Esq",143 Clark St #802,Halliwell Ward,Greater Manchester,BL1 2PS,01934-672498,01347-140077,eringlein@gmail.com,http://www.hylandrichardsesq.co.uk,Elmira Ringlein,gmail.com,14,True
Angelica,Poisso,Chemical Consultants,47 Orry St #8243,Castleford Central and Glassho,West Yorkshire,WF10 4DW,01472-449327,01758-700994,apoisso@gmail.com,http://www.chemicalconsultants.co.uk,Angelica Poisso,gmail.com,30,True
Casie,Arzilli,Wenatchee Valley Fed Crdt Un,5 Noon St,Melton Dorian Ward,Leicestershire,LE13 0RG,01289-195823,01372-334070,casie@gmail.com,http://www.wenatcheevalleyfedcrdtun.co.uk,Casie Arzilli,gmail.com,18,True
Leeann,Flory,Fleetwood Area School District,1761 Johnstone St,Church Langley Ward,Essex,CM17 9TZ,01906-807997,01997-771926,leeann@gmail.com,http://www.fleetwoodareaschooldistrict.co.uk,Leeann Flory,gmail.com,19,True
Shelia,Plues,"Schen, Sanford E Md",9730 Dunnet St,Silloth-on-Solway,Cumbria,CA7 4RB,01818-260618,01574-927461,shelia@gmail.com,http://www.schensanfordemd.co.uk,Shelia Plues,gmail.com,17,True
Evelynn,Frede,"Hasselberg, Michael R Esq",8 Breckfield Road North,Seaham,County Durham,SR7 0AZ,01289-621482,01571-460710,evelynn.frede@gmail.com,http://www.hasselbergmichaelresq.co.uk,Evelynn Frede,gmail.com,6,True
Dusti,Maricle,"Garton, Jeffrey P Esq",59 Charles St,Victoria Ward,Kent,TN23 4GF,01642-202972,01806-219415,dusti@gmail.com,http://www.gartonjeffreypesq.co.uk,Dusti Maricle,gmail.com,13,True
Filiberto,Fredrikson,Westoaks Glass,404 Aigburth St #4246,Audley Ward,Lancashire,BB1 2AA,01559-323337,01727-322116,filiberto_fredrikson@gmail.com,http://www.westoaksglass.co.uk,Filiberto Fredrikson,gmail.com,11,True
Man,Homer,Applied Robotic Tech Inc,7 Canton St,Mildmay Ward,Greater London,N1 4RF,01590-219449,01855-550515,man.homer@gmail.com,http://www.appliedrobotictechinc.co.uk,Man Homer,gmail.com,12,True
Lennie,Asley,Air Tech Streamlining,79 Pine St,Radcliffe West Ward,Greater Manchester,M26 1GH,01585-487560,01802-349902,lennie_asley@gmail.com,http://www.airtechstreamlining.co.uk,Lennie Asley,gmail.com,19,True
Nell,Pao,"Madaus, Gerald F Jr",1730 Seymour St,Eastbrook Ward,Brighton and Hove,BN41 1QH,01308-582144,01773-576318,npao@gmail.com,http://www.madausgeraldfjr.co.uk,Nell Pao,gmail.com,14,True
Antonio,Heilig,Radisson Suite Hotel,35 Elton St #3,Ipplepen,Devon,TQ12 5LL,01324-171614,01442-946357,antonio.heilig@gmail.com,http://www.radissonsuitehotel.co.uk,Antonio Heilig,gmail.com,8,True
Talia,Marthe,Kenney Mfg Co,5 Minerva St,Westbury,Wiltshire,BA13 3QR,01711-170147,01607-480159,talia.marthe@gmail.com,http://www.kenneymfgco.co.uk,Talia Marthe,gmail.com,8,True
Cherelle,Sorrel,"Wiltgen, Nancy A Esq",794 Hook St,Benwell and Scotswood Ward,Tyne and Wear,NE15 7JA,01753-327307,01212-458253,cherelle_sorrel@gmail.com,http://www.wiltgennancyaesq.co.uk,Cherelle Sorrel,gmail.com,26,True
