first_name,last_name,company_name,address,city,county,postal,phone1,phone2,email,web,full_name,email_domain,city_length,is_gmail,company_word_count
Janessa,Noonon,"Canterbury, Christopher C",476 Starkie St,Westgate Ward,Gloucestershire,GL1 1QW,01472-324699,01841-979075,jnoonon@yahoo.com,http://www.canterburychristopherc.co.uk,Janessa Noonon,yahoo.com,13,False,3
Sol,Cowser,Omni Mandalay,6448 Tillard St,Conisbrough and Denaby Ward,South Yorkshire,DN12 4JF,01412-528394,01580-134516,sol@gmail.com,http://www.omnimandalay.co.uk,Sol Cowser,gmail.com,27,True,2
Louann,Smethers,Lba Savings Bank,3055 Creswick St,Newbold and Brownsover Ward,Warwickshire,CV21 1LN,01670-234959,01488-872531,louann@gmail.com,http://www.lbasavingsbank.co.uk,Louann Smethers,gmail.com,27,True,3
Lindsay,Yadao,"Lutz, Christopher T Esq",7 Jolliffe St,Middlewich,Cheshire,CW10 9GB,01947-566661,01481-295251,lindsay_yadao@yadao.co.uk,http://www.lutzchristophertesq.co.uk,Lindsay Yadao,yadao.co.uk,10,False,4
Malika,Hanton,Association Of Art Museum Dir,1175 Greig St,St. Marys Ward,Greater Manchester,M25 0ZN,01532-497454,01705-208145,malika@gmail.com,http://www.associationofartmuseumdir.co.uk,Malika Hanton,gmail.com,14,True,5
Stefany,Ferenz,L & L Sales Co Inc,636 Portland Place,Gresham Ward,Middlesbrough,TS1 4RG,01743-977277,01704-986828,stefany@hotmail.com,http://www.llsalescoinc.co.uk,Stefany Ferenz,hotmail.com,12,False,6
Abraham,Cratch,"Cavuto, John A",41 Benedict St,Aldborough Ward,Greater London,IG2 7QG,01599-245408,01695-305111,acratch@gmail.com,http://www.cavutojohna.co.uk,Abraham Cratch,gmail.com,15,True,3
Giuseppe,Rohaley,Pacific Coast Packaging,62 Margaret St,Royal Hospital Ward,Greater London,SW3 4ND,01345-400452,01866-845669,giuseppe@yahoo.com,http://www.pacificcoastpackaging.co.uk,Giuseppe Rohaley,yahoo.com,19,False,3
Kiera,Bassil,Storm Eye Institute,5152 Sophia St,Woodstock Ward,South Gloucestershire,BS15 8DS,01655-519837,01783-446052,kbassil@bassil.co.uk,http://www.stormeyeinstitute.co.uk,Kiera Bassil,bassil.co.uk,14,False,3
Wendell,Rubano,Automation Engrg & Mfg Inc,1 Back Canning St,Dunblane and Bridge of Allan W,Stirling,FK9 4LD,01837-530939,01752-386691,wendell_rubano@hotmail.com,http://www.automationengrgmfginc.co.uk,Wendell Rubano,hotmail.com,30,False,5
Stevie,Stifflemire,Packaging Corp Of America,9 Gradwell St,Kempshott Ward,Hampshire,RG22 5HA,01262-808399,01411-169215,stevie_stifflemire@stifflemire.co.uk,http://www.packagingcorpofamerica.co.uk,Stevie Stifflemire,stifflemire.co.uk,14,False,4
Yun,Paletta,"Goe, Douglas E Esq",9205 Upper Hill St,City and Hunslet Ward,West Yorkshire,LS1 5QE,01350-332706,01374-255198,yun_paletta@paletta.co.uk,http://www.goedouglaseesq.co.uk,Yun Paletta,paletta.co.uk,21,False,4
Brittani,Thurm,Burgess Steel Products Corp,9 Horatio St,Ruckinge,Kent,TN26 2PN,01686-306597,01970-890023,bthurm@yahoo.com,http://www.burgesssteelproductscorp.co.uk,Brittani Thurm,yahoo.com,8,False,4
Billy,Venus,Tipton & Hurst,61 Miriam St,Abbey Road Ward,Greater London,NW8 9BD,01537-356648,01703-435212,billy.venus@yahoo.com,http://www.tiptonhurst.co.uk,Billy Venus,yahoo.com,15,False,3
Brynn,Elkan,A O Hardee & Son Inc,67 Pulford St,Prittlewell Ward,Essex,SS2 6NL,01388-416867,01345-625433,brynn@yahoo.com,http://www.aohardeesoninc.co.uk,Brynn Elkan,yahoo.com,16,False,6
Elroy,Piehler,"Jonson, Geo D Esq",821 Pembroke Place,Kirkby Stephen,Cumbria,CA17 4RZ,01589-654152,01586-387018,epiehler@piehler.co.uk,http://www.jonsongeodesq.co.uk,Elroy Piehler,piehler.co.uk,14,False,4
Anisha,Shulick,Dale Yoder Clu Life Hlth & Bus,3 Alder St,Eaton Park Ward,Stoke-on-Trent,ST2 9AW,01780-704167,01268-233798,ashulick@yahoo.com,http://www.daleyoderclulifehlthbus.co.uk,Anisha Shulick,yahoo.com,15,False,7
Bettina,Kham,Council Of Cmnty Blood Ctrs,80 Morecambe St,Bishop Auckland,County Durham,DL14 6NG,01355-192668,01340-622388,bettina.kham@kham.co.uk,http://www.councilofcmntybloodctrs.co.uk,Bettina Kham,kham.co.uk,15,False,5
Velda,Mancilla,"Tremont, Michael A Esq",7866 Renshaw St #283,Falmouth,Cornwall,TR11 4QQ,01823-526645,01368-456268,velda_mancilla@mancilla.co.uk,http://www.tremontmichaelaesq.co.uk,Velda Mancilla,mancilla.co.uk,8,False,4
Marta,Brace,"Trautman, Eileen Esq",658 Lake St,Malmesbury,Wiltshire,SN16 0XZ,01777-469402,01631-454193,marta.brace@brace.co.uk,http://www.trautmaneileenesq.co.uk,Marta Brace,brace.co.uk,10,False,3
Juan,Vanwyhe,Office Service Co,5382 Redfern St,West End Ward,Greater London,W1J 0QH,01961-642757,01728-150282,juan_vanwyhe@gmail.com,http://www.officeserviceco.co.uk,Juan Vanwyhe,gmail.com,13,True,3
Lelia,Filion,Alphabetland Pre School Center,45 Bidder St #38,Town Ward,Greater London,EN1 3HT,01367-136951,01322-715065,lelia.filion@filion.co.uk,http://www.alphabetlandpreschoolcenter.co.uk,Lelia Filion,filion.co.uk,9,False,4
Una,Frankel,Shamrock Food Service,6766 Britton St #379,Crompton Ward,Greater Manchester,BL1 3EX,01912-749219,01308-356704,ufrankel@hotmail.com,http://www.shamrockfoodservice.co.uk,Una Frankel,hotmail.com,13,False,3
Eva,Joulwan,Central Hrdwr & Elec Corp,7 Lear Rd,Stroud,Hampshire,GU32 3PQ,01779-720349,01961-802899,eva.joulwan@gmail.com,http://www.centralhrdwreleccorp.co.uk,Eva Joulwan,gmail.com,6,True,5
Mammie,Dormanen,Matt Parrott & Sons Co,2577 Toxteth St #5,Overton Ward,Lancashire,BB6 7UN,01527-579687,01439-184366,mammie_dormanen@hotmail.com,http://www.mattparrottsonsco.co.uk,Mammie Dormanen,hotmail.com,12,False,5
Jeannetta,Coolidge,Tiny Tots Originals Div,761 Cockerell St #1,Midway Ward,Derbyshire,DE11 0HE,01927-790069,01440-276155,jeannetta_coolidge@gmail.com,http://www.tinytotsoriginalsdiv.co.uk,Jeannetta Coolidge,gmail.com,11,True,4
Elbert,Drawe,"Lovitch, Alan F",9 Cypress St,Washington East Ward,Tyne and Wear,NE38 9AQ,01753-784273,01496-526674,edrawe@drawe.co.uk,http://www.lovitchalanf.co.uk,Elbert Drawe,drawe.co.uk,20,False,3
Lenny,Gazzola,Wise Industries,6 Romilly St,Walkergate Ward,Tyne and Wear,NE6 4YH,01312-233253,01342-706893,lenny.gazzola@yahoo.com,http://www.wiseindustries.co.uk,Lenny Gazzola,yahoo.com,15,False,2
Mira,Alpheaus,East County Process,51 St Anne St #12,Stratfield Mortimer,Berkshire,RG7 3RA,01241-273991,01381-836777,mira.alpheaus@yahoo.com,http://www.eastcountyprocess.co.uk,Mira Alpheaus,yahoo.com,19,False,3
Cathern,Ungar,Agopgee Enterprises Inc,823 Idris St,Selston,Nottinghamshire,NG16 5LG,01898-134749,01266-671305,cathern.ungar@ungar.co.uk,http://www.agopgeeenterprisesinc.co.uk,Cathern Ungar,ungar.co.uk,7,False,3
Malcom,Fleckles,L Winik & Associates Inc,8764 Nickleby St #877,Govan Ward,Glasgow City,G51 1BQ,01478-110943,01937-120539,malcom.fleckles@gmail.com,http://www.lwinikassociatesinc.co.uk,Malcom Fleckles,gmail.com,10,True,5
Monroe,Damato,"Rosati, Marc D Esq",5344 Bengel St #5,Millwall Ward,Greater London,E14 5DR,01402-733903,01440-164945,mdamato@damato.co.uk,http://www.rosatimarcdesq.co.uk,Monroe Damato,damato.co.uk,13,False,4
Leota,Fletchen,Rust Evader Corp,8880 Great Howard St #7750,Sefton,Merseyside,L29 7WD,01358-446391,01414-780251,lfletchen@gmail.com,http://www.rustevadercorp.co.uk,Leota Fletchen,gmail.com,6,True,3
Berry,Gutoski,Budget Annex,9 Oakleigh,Lancing,West Sussex,BN15 9BN,01448-211489,01929-400879,berry@gmail.com,http://www.budgetannex.co.uk,Berry Gutoski,gmail.com,7,True,2
Meghan,Riherd,Kiqo Pure Gold Oldies 104 Fm,83 Denbigh St Bootle,St. Gluvias,Cornwall,TR3 7AZ,01462-474800,01650-129106,meghan@riherd.co.uk,http://www.kiqopuregoldoldiesfm.co.uk,Meghan Riherd,riherd.co.uk,11,False,6
Mike,Torner,Segall Majestic Inc,30 Aughton St,Hilton,Aberdeenshire,AB24 2RR,01240-600327,01408-918612,mike_torner@torner.co.uk,http://www.segallmajesticinc.co.uk,Mike Torner,torner.co.uk,6,False,3
Elsa,Delisle,Taos Valley Resort Assn,260 Saxon St,Brooklands Ward,Greater Manchester,M33 4BP,01537-525550,01204-471598,elsa_delisle@gmail.com,http://www.taosvalleyresortassn.co.uk,Elsa Delisle,gmail.com,15,True,4
Linwood,Rosenlof,Exhibit Crafts Inc,3 Pyramid St,Eccleston Ward,Merseyside,WA10 3BW,01546-942059,01244-769346,linwood.rosenlof@yahoo.com,http://www.exhibitcraftsinc.co.uk,Linwood Rosenlof,yahoo.com,14,False,3
Latosha,Alexy,"Laitinen, Stephen B Esq",37 Langham St #948,St. Georges Hill Ward,Surrey,KT13 0AZ,01704-508066,01662-268374,latosha@yahoo.com,http://www.laitinenstephenbesq.co.uk,Latosha Alexy,yahoo.com,21,False,4
Alexia,Meenan,Herr Foods Inc,94 Villars St,Launcells,Cornwall,EX23 9LG,01560-328739,01270-931388,alexia.meenan@meenan.co.uk,http://www.herrfoodsinc.co.uk,Alexia Meenan,meenan.co.uk,9,False,3
Graham,Stanwick,Tiburon Pen Chmbr Commrce Inc,73 Hawkstone St,Renfrew South & Gallowhill War,Dunbartonshire,G52 4YG,01860-191930,01409-786106,gstanwick@gmail.com,http://www.tiburonpenchmbrcommrceinc.co.uk,Graham Stanwick,gmail.com,30,True,5
Elinore,Fulda,Agri Business Insurance Agency,123 Sussex St,Astley Bridge Ward,Greater Manchester,BL1 6PY,01457-837447,01403-864306,elinore.fulda@fulda.co.uk,http://www.agribusinessinsuranceagency.co.uk,Elinore Fulda,fulda.co.uk,18,False,4
Lisbeth,Creecy,"Gerstenfeld, Gerald F Esq",484 Barry St,Shiney Row Ward,County Durham,DH4 7RG,01931-620849,01825-623398,lcreecy@gmail.com,http://www.gerstenfeldgeraldfesq.co.uk,Lisbeth Creecy,gmail.com,15,True,4
Eloisa,Faurote,"Mcdonald, Michael J Esq",7033 Micawber St,Bintree,Norfolk,NR20 5NQ,01337-695353,01747-999761,eloisa.faurote@hotmail.com,http://www.mcdonaldmichaeljesq.co.uk,Eloisa Faurote,hotmail.com,7,False,4
Shawana,Cantua,Best Western Riverview Inn,33 Vipond St,Woodhall Farm Ward,Hertfordshire,HP2 7JP,01413-348876,01659-621050,shawana@yahoo.com,http://www.bestwesternriverviewinn.co.uk,Shawana Cantua,yahoo.com,18,False,4
Alyssa,Ansbro,"Berg, Michael D Esq",85 Hero St,Stanhope,County Durham,DL13 2TZ,01632-887825,01585-967862,alyssa_ansbro@gmail.com,http://www.bergmichaeldesq.co.uk,Alyssa Ansbro,gmail.com,8,True,4
Kyoko,Mcmillian,Nature Conservancy,77 Reading St #8,North Tawton,Devon,EX20 2TR,01235-173362,01371-735347,kyoko_mcmillian@gmail.com,http://www.natureconservancy.co.uk,Kyoko Mcmillian,gmail.com,12,True,2
Terry,Gauthier,"Walker, Susan S Esq",274 Altcar Ave,Catterick,North Yorkshire,DL10 7NU,01555-550015,01793-749131,tgauthier@yahoo.com,http://www.walkersusansesq.co.uk,Terry Gauthier,yahoo.com,9,False,4
Sena,Langenbach,Alternative Collection Svc Inc,38 Avondale Rd #79,Kilmersdon,Somerset,BA3 5SJ,01756-678490,01836-695245,sena.langenbach@hotmail.com,http://www.alternativecollectionsvcinc.co.uk,Sena Langenbach,hotmail.com,10,False,4
Cristen,Nesset,"Johnson, Matthew E Esq",4679 Curzon St,Central Ward,Lancashire,BB5 0SJ,01354-864473,01994-347546,cnesset@nesset.co.uk,http://www.johnsonmattheweesq.co.uk,Cristen Nesset,nesset.co.uk,12,False,4
